Gazette Title,Gazette Volume,Gazette Release Number,Gazette Published Date,Claim Title Deed,Claim ERF Number / Address,Claim Reference ID,Claim Date
Suid-Afrikaanse Staatskoerant,683,18848,1998-04-30,T25574148,,KRK6/2/3/A/14/168/1869/1(J195),1995-10-19
Suid-Afrikaanse Staatskoerant,683,18848,1998-04-30,T5620/65,,KRK6/2/3/A/14/168/1869/1(J195),1995-10-19
Suid-Afrikaanse Staatskoerant,683,18848,1998-04-30,T14366/15,,KRK6/2/3/A/14/168/1869/1(J195),1995-10-19
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T38062/1974,,KRP:NO. 4217 & 6557 ,2020-01-16
Suid-Afrikaanse Staatskoerant,698,18848,1998-04-30,T7577/56,,KRK6/2/3/A/42/2711/1238/37(H97),1996-04-22
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T4515/2012,,KRP No. 9084,2020-02-07
Suid-Afrikaanse Staatskoerant,698,18848,1998-04-30,T18250/74,,KRK6/2/3/A/42/2711/1238/37(H97),1996-04-22
Suid-Afrikaanse Staatskoerant,698,18848,1998-04-30,T123817/97,,KRK6/2/3/A/42/2711/1238/37(H97),1996-04-22
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T43163/1982PTA,,KRP 12185,2019-12-19
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T43163/1982PTA,,KRP 12185,2019-12-19
Suid-Afrikaanse Staatskoerant,692,18848,1998-04-30,T952/67,,KRK6/2/3/A/18/2523/1381/8(A36),1996-10-06
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T29598/1982PTA,,KRP 12185,2019-12-19
Suid-Afrikaanse Staatskoerant,692,18848,1998-04-30,T27813/75,,KRK6/2/3/A/18/2523/1381/8(A36),1996-10-06
Suid-Afrikaanse Staatskoerant,692,18848,1998-04-30,T2991/76,,KRK6/2/3/A/18/2523/1381/8(A36),1996-10-06
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T121293/1998,,KRP 432,2019-12-19
Suid-Afrikaanse Staatskoerant,692,18848,1998-04-30,T16018/69,,KRK6/2/3/A/18/2523/1381/8(A36),1996-10-06
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,LG2512/1997,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,691,18848,1998-04-30,T17573/44,,KRK6/2/3/A/8/148/782/4(03),1995-02-10
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,LG2518/1997,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,691,18848,1998-04-30,T3731/50,,KRK6/2/3/A/8/148/782/4(03),1995-02-10
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,LG2519/1997,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,691,18848,1998-04-30,T62635/95,,KRK6/2/3/A/8/148/782/4(03),1995-02-10
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T36259/1999,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T36259/1999,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,689,18848,1998-04-30,T8844/34,,KRK6/2/3/A/31/64/1347/1(F98),1996-10-10
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T36259/1999,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,689,18848,1998-04-30,T6506/43,,KRK6/2/3/A/31/64/1347/1(F98),1996-10-10
Suid-Afrikaanse Staatskoerant,689,18848,1998-04-30,T7404/69,,KRK6/2/3/A/31/64/1347/1(F98),1996-10-10
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T9903/2010,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T9904/2010,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,SG2067/2009,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T3892/2009,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T5395/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T36259/1999,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T36259/1999,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T36259/1999,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,689,18848,1998-04-30,T25819/75,,KRK6/2/3/A/31/64/1347/1(F98),1996-10-10
Suid-Afrikaanse Staatskoerant,656,42999,2020-02-07,T14573/2013,,KRP: 10045,2020-02-07
Suid-Afrikaanse Staatskoerant,689,18848,1998-04-30,T10934/84,,KRK6/2/3/A/31/64/1347/1(F98),1996-10-10
